id,area,Y,M,O,Total
1,2964.5577901988418,19016,179496,125381,323893
2,14939.410037895737,47288,187949,159556,394793
3,5826.426638390768,234875,910283,697024,1842182
4,8791.29079496463,93737,358727,256735,709199
5,8058.192780955031,29903,87124,45863,162890
6,21799.98658956932,105053,356012,230157,691222
7,4989.224200165175,131916,587718,404453,1124087
8,7736.837276236713,719222,2878624,1934237,5532083
9,14052.113338077334,55185,186014,116513,357712
10,19894.204220726344,71973,210490,120876,403339
11,7451.054058456785,205085,650193,391093,1246371
12,6640.289388214543,87924,307133,188582,583639
13,19841.339785741828,81619,276872,158659,517150
14,13793.70812018609,122059,411774,267103,800936
15,7953.979333815689,177035,595974,350507,1123516
16,17160.458270515577,35973,108496,57797,202266
17,5913.748133415306,131326,404710,223976,760012
18,12669.801277085031,174097,488481,242927,905505
19,12179.296334696835,44547,142422,71695,258664
20,1907.9036897708131,136353,406490,166086,708929
21,10145.519635404024,93294,275832,157970,527096
22,15640.786540921192,40862,119765,63606,224233
23,13510.907099901171,121624,346722,181359,649705
24,15581.861321317401,88233,258440,124707,471380
25,12181.976895718914,81640,220169,124503,426312
26,5030.883080236266,65858,178229,71137,315224
27,9862.80598552094,73700,183087,81513,338300
28,8038.907150377851,1303996,3472625,1578053,6354674
29,7322.7000683423485,314711,896560,421935,1633206
30,11331.297311432862,301514,832416,336567,1470497
31,9613.369954156191,132956,349930,155419,638305
32,7279.791605508564,74827,174791,65080,314698
33,10606.060508370452,208855,567850,256261,1032966
34,8055.861774574384,27451,84810,52667,164928
35,4065.6292467040735,252764,582877,265769,1101410
36,4492.000808347811,188484,518709,246857,954050
37,12361.214609021305,79699,180098,67290,327087
38,3387.463883710435,246207,556075,201924,1004206
39,5258.891554984574,141085,328815,121793,591693
40,6801.536903262672,38512,87913,26966,153391
41,14060.690239478185,537409,1118374,275660,1931443
42,10311.036407030933,21263,48106,15893,85262
43,6309.767110397765,203788,451749,146147,801684
44,14812.10406056242,33933,75101,23156,132190
45,15387.507740346404,189209,429210,102917,721336
46,10822.388390059577,686717,1445519,395087,2527323
47,8117.1381923714025,148887,294791,73782,517460
48,2208.7317218880294,303346,674392,146121,1123859
49,10569.562554373355,46830,107303,27551,181684
50,17288.145814177336,141135,444430,361959,947524
51,19.33274310393139,9921,47409,26461,83791
52,13.268839087752166,3520,50220,30835,84575
