"name","id","idx","Y","M","O"
"Andalucía","41",41,0.72,0.96,4.32
"Aragón","50",50,0.48,0.64,2.88
"Principado de Asturias","33",33,0.12,0.16,0.72
"Illes Balears","07",7,0.12,0.16,0.72
"Canarias","38",38,0.12,0.16,0.72
"Cantabria","39",39,0.12,0.16,0.72
"Castilla y León","47",47,2.4,3.2,14.4
"Castilla-La Mancha","45",45,1.8,2.4,10.8
"Cataluña","08",8,2.4,3.2,14.4
"Comunitat Valenciana","46",46,0.96,1.28,5.76
"Extremadura","10",10,0.48,0.64,2.88
"Galicia","15",15,0.24,0.32,1.44
"Comunidad de Madrid","28",28,6,8,36
"Región de Murcia","30",30,0.12,0.16,0.72
"Comunidad Foral de Navarra","31",31,0.48,0.64,2.88
"País Vasco","01",1,0.36,0.48,2.16
"La Rioja","26",26,0.48,0.64,2.88
"Ceuta","51",51,0.012,0.016,0.072
"Melilla","52",52,0.012,0.016,0.072
